TransactionID,CustomerID,ProductID,ProductName,TransactionDate,Quantity,PricePerUnit,LocationCode,CustomerPhone
Txn1300,CUST_001a,PROD201,Allergy Relief,2023-01-15,2,25.50,LOC1,987654321
Txn1301,CUST_002b,PROD202,Antibiotic  Broad Spectrum,2023-01-15,1,45.20,LOC2,876543210
Txn1302,CUST_003c,PROD203,Antibiotic  Broad Spectrum,2023-02-20,3,20.10,LOC3,765432109
Txn1303,CUST_004a,PROD204,CoughSyrup  Night Formula,2023-02-20,2,12.30,LOC4,654321098
Txn1304,CUST_005b,PROD205,Antacid  Fast Acting,2023-03-25,4,30.50,LOC5,543210987
Txn1305,CUST_006c,PROD206,Antacid  Fast Acting,2023-03-25,1,18.70,LOC6,432109876
Txn1306,CUST_007a,PROD207,Probiotic  Daily Dose,2023-04-30,2,21.90,LOC7,321098765
Txn1307,CUST_008b,PROD208,SkinCream  Eczema Formula,2023-04-30,3,31.40,LOC8,210987654
Txn1308,CUST_009c,PROD209,SleepAid  Herbal Blend,2023-05-05,1,40.80,LOC9,109876543
Txn1309,CUST_010a,PROD210,VitaminD  Supplement,,5,11.60,LOC10,998877665
Txn1310,CUST_011b,PROD201,Allergy Relief,2023-06-10,2,26.20,LOC1,887766554
Txn1311,CUST_012c,PROD202,Antibiotic  Broad Spectrum,2023-06-10,3,46.90,LOC2,776655443
Txn1312,CUST_013a,PROD203,Antibiotic  Broad Spectrum,2023-07-15,1,21.50,LOC3,665544332
Txn1313,CUST_014b,PROD204,CoughSyrup  Night Formula,2023-07-15,2,13.70,LOC4,554433221
Txn1314,CUST_015c,PROD205,Antacid  Fast Acting,2023-08-20,3,31.80,LOC5,
Txn1315,CUST_016a,PROD206,Antacid  Fast Acting,2023-08-20,4,19.90,LOC6,332211009
Txn1316,CUST_017b,PROD207,Probiotic  Daily Dose,2023-09-25,1,23.10,LOC7,221100998
Txn1317,CUST_018c,,SkinCream  Eczema Formula,2023-09-25,2,32.60,LOC8,110099887
Txn1318,CUST_019a,PROD209,SleepAid  Herbal Blend,2023-10-30,3,42.00,LOC9,99887766
Txn1319,CUST_020b,PROD210,VitaminD  Supplement,2023-10-30,4,12.80,LOC10,88776655
Txn1320,CUST_021c,PROD201,Allergy Relief,2023-11-05,5,27.00,LOC1,77665544
Txn1321,CUST_022a,PROD202,Antibiotic  Broad Spectrum,2023-11-05,1,47.50,LOC2,66554433
Txn1322,CUST_023b,PROD203,Antibiotic  Broad Spectrum,2023-12-10,2,22.50,LOC3,55443322
Txn1323,CUST_024c,PROD204,CoughSyrup  Night Formula,2023-12-10,3,14.90,LOC4,44332211
Txn1324,CUST_025a,PROD205,Antacid  Fast Acting,2024-01-15,4,33.20,LOC5,33221100
Txn1325,CUST_026b,PROD206,Antacid  Fast Acting,2024-01-15,5,21.10,LOC6,22110099
Txn1326,CUST_027c,PROD207,Probiotic  Daily Dose,2024-02-20,1,24.30,LOC7,11009988
Txn1327,CUST_028a,PROD208,SkinCream  Eczema Formula,2024-02-20,2,33.80,LOC8,9988776
Txn1328,CUST_029b,PROD209,SleepAid  Herbal Blend,2024-03-25,3,43.30,LOC9,8877665
Txn1329,CUST_030c,PROD210,VitaminD  Supplement,2024-03-25,4,14.00,LOC10,7766554
Txn1330,CUST_031a,PROD201,Allergy Relief,2024-04-30,2,28.00,LOC1,6655443
Txn1331,CUST_032b,PROD202,Antibiotic  Broad Spectrum,2024-04-30,1,49.00,LOC2,5544332
Txn1332,CUST_033c,PROD203,Antibiotic  Broad Spectrum,2024-05-05,3,23.50,LOC3,4433221
Txn1333,CUST_034a,PROD204,CoughSyrup  Night Formula,2024-05-05,2,16.00,LOC4,3322110
Txn1334,CUST_035b,PROD205,Antacid  Fast Acting,2024-06-10,4,34.80,LOC5,2211009
Txn1335,CUST_036c,PROD206,Antacid  Fast Acting,2024-06-10,1,22.00,LOC6,1100998
Txn1336,CUST_037a,PROD207,Probiotic  Daily Dose,2024-07-15,2,25.20,LOC7,998877
Txn1337,CUST_038b,PROD208,SkinCream  Eczema Formula,2024-07-15,3,34.50,LOC8,887766
Txn1338,CUST_039c,PROD209,SleepAid  Herbal Blend,2024-08-20,1,44.00,LOC9,776655
Txn1339,CUST_040a,PROD210,VitaminD  Supplement,2024-08-20,5,15.20,LOC10,665544
Txn1340,CUST_041b,PROD201,Allergy Relief,2024-09-25,2,29.00,LOC1,554433
Txn1341,CUST_042c,PROD202,Antibiotic  Broad Spectrum,2024-09-25,3,49.90,LOC2,443322
Txn1342,CUST_043a,PROD203,Antibiotic  Broad Spectrum,2024-10-30,1,25.00,LOC3,332211
Txn1343,CUST_044b,PROD204,CoughSyrup  Night Formula,2024-10-30,2,17.00,LOC4,221100
Txn1344,CUST_045c,PROD205,Antacid  Fast Acting,2024-11-05,3,36.00,LOC5,110099
